,FRES
2008-10-14,44.849998474121094
2008-10-15,
2008-10-16,41.5
2008-10-17,41.5
2008-10-20,41.5
2008-10-21,41.5
2008-10-22,41.5
2008-10-23,41.5
2008-10-24,41.5
2008-10-27,41.5
2008-10-28,41.5
2008-10-29,41.5
2008-10-30,41.5
2008-10-31,41.5
2008-11-03,41.5
2008-11-04,41.5
2008-11-05,41.5
2008-11-06,41.5
2008-11-07,41.5
2008-11-10,41.5
2008-11-11,41.5
2008-11-12,41.5
2008-11-13,41.5
2008-11-14,41.5
2008-11-17,41.5
2008-11-18,41.5
2008-11-19,41.5
2008-11-20,41.5
2008-11-21,41.5
2008-11-24,41.5
2008-11-25,41.5
2008-11-26,41.5
2008-11-28,41.5
2008-12-01,41.5
2008-12-02,41.5
2008-12-03,41.5
2008-12-04,41.5
2008-12-05,41.5
2008-12-08,41.5
2008-12-09,41.5
2008-12-10,41.5
2008-12-11,41.5
2008-12-12,41.5
2008-12-15,41.5
2008-12-16,41.5
2008-12-17,41.5
2008-12-18,
2008-12-19,
2008-12-22,
2008-12-23,
2008-12-24,
2008-12-26,
2008-12-29,
2008-12-30,
2008-12-31,
2009-01-02,
2009-01-05,
2009-01-06,
2009-01-07,
2009-01-08,
2009-01-09,
2009-01-12,
2009-01-13,
2009-01-14,
2009-01-15,
2009-01-16,
2009-01-20,
2009-01-21,
2009-01-22,
2009-01-23,
2009-01-26,62.29999923706055
2009-01-27,
2009-01-28,
2009-01-29,
2009-01-30,
2009-02-02,
2009-02-03,
2009-02-04,
2009-02-05,
2009-02-06,
2009-02-09,
2009-02-10,
2009-02-11,
2009-02-12,
2009-02-13,82.33000183105469
2009-02-17,87.0
2009-02-18,90.69000244140625
2009-02-19,87.4000015258789
2009-02-20,
2009-02-23,
2009-02-24,
2009-02-25,
2009-02-26,
2009-02-27,
2009-03-02,
2009-03-03,
2009-03-04,
2009-03-05,
2009-03-06,
2009-03-09,
2009-03-10,
2009-03-11,
2009-03-12,
2009-03-13,
2009-03-16,
2009-03-17,
2009-03-18,
2009-03-19,
2009-03-20,
2009-03-23,
2009-03-24,93.0
2009-03-25,
2009-03-26,
2009-03-27,
2009-03-30,
2009-03-31,
2009-04-01,
2009-04-02,
2009-04-03,
2009-04-06,
2009-04-07,
2009-04-08,
2009-04-09,
2009-04-13,
2009-04-14,
2009-04-15,
2009-04-16,
2009-04-17,
2009-04-20,
2009-04-21,
2009-04-22,
2009-04-23,
2009-04-24,
2009-04-27,
2009-04-28,
2009-04-29,
2009-04-30,
2009-05-01,
2009-05-04,
2009-05-05,
2009-05-06,
2009-05-07,
2009-05-08,
2009-05-11,
2009-05-12,
2009-05-13,
2009-05-14,
2009-05-15,
2009-05-18,
2009-05-19,
2009-05-20,
2009-05-21,
2009-05-22,
2009-05-26,
2009-05-27,
2009-05-28,
2009-05-29,
2009-06-01,
2009-06-02,
2009-06-03,
2009-06-04,151.60000610351562
2009-06-05,
2009-06-08,
2009-06-09,
2009-06-10,146.22000122070312
2009-06-11,
2009-06-12,
2009-06-15,
2009-06-16,
2009-06-17,
2009-06-18,
2009-06-19,126.33000183105469
2009-06-22,
2009-06-23,
2009-06-24,
2009-06-25,
2009-06-26,
2009-06-29,
