,CBLI
2006-07-25,106.0
2006-07-26,106.0
2006-07-27,105.0
2006-07-28,104.0
2006-07-31,102.5999984741211
2006-08-01,103.0
2006-08-02,104.0
2006-08-03,102.80000305175781
2006-08-04,102.4000015258789
2006-08-07,100.19999694824219
2006-08-08,96.0
2006-08-09,95.80000305175781
2006-08-10,95.0
2006-08-11,92.0
2006-08-14,92.0
2006-08-15,98.4000015258789
2006-08-16,99.4000015258789
2006-08-17,99.5999984741211
2006-08-18,96.4000015258789
2006-08-21,96.0
2006-08-22,95.0
2006-08-23,94.5999984741211
2006-08-24,93.19999694824219
2006-08-25,92.19999694824219
2006-08-28,91.19999694824219
2006-08-29,91.4000015258789
2006-08-30,90.0
2006-08-31,90.0
2006-09-01,90.0
2006-09-05,88.0
2006-09-06,91.80000305175781
2006-09-07,96.19999694824219
2006-09-08,88.4000015258789
2006-09-11,96.19999694824219
2006-09-12,94.5999984741211
2006-09-13,98.19999694824219
2006-09-14,99.0
2006-09-15,97.80000305175781
2006-09-18,99.80000305175781
2006-09-19,96.0
2006-09-20,96.0
2006-09-21,93.19999694824219
2006-09-22,100.4000015258789
2006-09-25,100.0
2006-09-26,95.19999694824219
2006-09-27,97.5999984741211
2006-09-28,99.0
2006-09-29,99.80000305175781
2006-10-02,97.19999694824219
2006-10-03,92.80000305175781
2006-10-04,97.80000305175781
2006-10-05,97.0
2006-10-06,96.0
2006-10-09,96.80000305175781
2006-10-10,97.0
2006-10-11,97.0
2006-10-12,96.80000305175781
2006-10-13,97.80000305175781
2006-10-16,97.80000305175781
2006-10-17,103.0
2006-10-18,107.4000015258789
2006-10-19,112.0
2006-10-20,107.80000305175781
2006-10-23,102.19999694824219
2006-10-24,106.4000015258789
2006-10-25,107.0
2006-10-26,108.0
2006-10-27,110.0
2006-10-30,111.19999694824219
2006-10-31,111.80000305175781
2006-11-01,112.0
2006-11-02,109.80000305175781
2006-11-03,112.0
2006-11-06,113.0
2006-11-07,114.80000305175781
2006-11-08,115.0
2006-11-09,112.0
2006-11-10,110.0
2006-11-13,111.4000015258789
2006-11-14,111.5999984741211
2006-11-15,111.5999984741211
2006-11-16,109.19999694824219
2006-11-17,106.80000305175781
2006-11-20,111.0
2006-11-21,108.0
2006-11-22,110.80000305175781
2006-11-24,111.0
2006-11-27,111.0
2006-11-28,110.5999984741211
2006-11-29,108.0
2006-11-30,102.19999694824219
2006-12-01,100.0
2006-12-04,100.0
2006-12-05,93.80000305175781
2006-12-06,92.0
2006-12-07,92.4000015258789
2006-12-08,92.19999694824219
2006-12-11,87.80000305175781
2006-12-12,88.0
2006-12-13,88.0
2006-12-14,100.0
2006-12-15,105.0
2006-12-18,97.19999694824219
2006-12-19,97.5999984741211
2006-12-20,97.5999984741211
2006-12-21,108.4000015258789
2006-12-22,108.4000015258789
2006-12-26,101.4000015258789
2006-12-27,100.4000015258789
2006-12-28,97.0
2006-12-29,100.80000305175781
2007-01-03,95.5999984741211
2007-01-04,94.0
2007-01-05,91.19999694824219
2007-01-08,100.0
2007-01-09,100.0
2007-01-10,147.60000610351562
2007-01-11,136.1999969482422
2007-01-12,153.60000610351562
2007-01-16,142.1999969482422
2007-01-17,141.39999389648438
2007-01-18,140.8000030517578
2007-01-19,142.39999389648438
2007-01-22,145.60000610351562
2007-01-23,144.8000030517578
2007-01-24,130.1999969482422
2007-01-25,122.0
2007-01-26,125.80000305175781
2007-01-29,118.19999694824219
2007-01-30,119.80000305175781
2007-01-31,118.5999984741211
2007-02-01,124.0
2007-02-02,128.0
2007-02-05,148.1999969482422
2007-02-06,150.8000030517578
2007-02-07,152.0
2007-02-08,151.60000610351562
2007-02-09,160.0
2007-02-12,173.0
2007-02-13,171.39999389648438
2007-02-14,182.8000030517578
2007-02-15,188.39999389648438
2007-02-16,203.0
2007-02-20,238.39999389648438
2007-02-21,267.6000061035156
2007-02-22,235.0
2007-02-23,221.60000610351562
2007-02-26,204.8000030517578
2007-02-27,183.8000030517578
2007-02-28,218.60000610351562
2007-03-01,214.0
2007-03-02,216.0
2007-03-05,216.39999389648438
2007-03-06,227.39999389648438
2007-03-07,218.39999389648438
2007-03-08,234.39999389648438
2007-03-09,221.0
2007-03-12,227.60000610351562
2007-03-13,223.0
2007-03-14,224.60000610351562
2007-03-15,209.0
2007-03-16,203.8000030517578
2007-03-19,176.39999389648438
2007-03-20,178.0
2007-03-21,178.1999969482422
2007-03-22,175.0
2007-03-23,171.8000030517578
2007-03-26,180.0
2007-03-27,184.0
2007-03-28,180.1999969482422
2007-03-29,177.1999969482422
2007-03-30,176.0
2007-04-02,173.8000030517578
2007-04-03,165.60000610351562
2007-04-04,168.60000610351562
2007-04-05,167.1999969482422
2007-04-09,184.0
2007-04-10,184.8000030517578
2007-04-11,189.1999969482422
2007-04-12,189.0
2007-04-13,206.8000030517578
2007-04-16,213.1999969482422
2007-04-17,202.39999389648438
2007-04-18,206.39999389648438
2007-04-19,202.39999389648438
2007-04-20,205.0
2007-04-23,210.60000610351562
2007-04-24,204.8000030517578
2007-04-25,202.0
2007-04-26,192.0
2007-04-27,189.60000610351562
2007-04-30,182.8000030517578
2007-05-01,182.8000030517578
2007-05-02,182.0
2007-05-03,188.39999389648438
2007-05-04,194.8000030517578
2007-05-07,188.1999969482422
2007-05-08,188.8000030517578
2007-05-09,185.0
2007-05-10,181.60000610351562
2007-05-11,176.8000030517578
2007-05-14,180.0
2007-05-15,176.1999969482422
2007-05-16,172.1999969482422
2007-05-17,181.39999389648438
2007-05-18,178.0
2007-05-21,183.39999389648438
2007-05-22,183.39999389648438
2007-05-23,180.0
2007-05-24,180.0
2007-05-25,183.60000610351562
2007-05-29,185.1999969482422
2007-05-30,183.60000610351562
2007-05-31,184.0
2007-06-01,183.0
2007-06-04,188.0
2007-06-05,188.39999389648438
2007-06-06,183.60000610351562
2007-06-07,189.60000610351562
2007-06-08,191.8000030517578
2007-06-11,188.0
2007-06-12,190.39999389648438
2007-06-13,200.0
2007-06-14,198.60000610351562
2007-06-15,208.8000030517578
2007-06-18,209.0
2007-06-19,213.39999389648438
2007-06-20,211.8000030517578
2007-06-21,216.8000030517578
2007-06-22,228.0
2007-06-25,230.0
2007-06-26,221.8000030517578
2007-06-27,219.39999389648438
2007-06-28,213.1999969482422
2007-06-29,219.1999969482422
2007-07-02,205.0
2007-07-03,205.0
2007-07-05,214.39999389648438
2007-07-06,216.8000030517578
2007-07-09,216.60000610351562
2007-07-10,218.8000030517578
2007-07-11,215.8000030517578
2007-07-12,215.8000030517578
2007-07-13,212.0
2007-07-16,206.0
2007-07-17,212.1999969482422
