,EML
1980-03-17,2.40740704536438
1980-03-18,2.4259259700775146
1980-03-19,2.4259259700775146
1980-03-20,2.3888890743255615
1980-03-21,2.3518519401550293
1980-03-24,2.240741014480591
1980-03-25,2.259258985519409
1980-03-26,2.222222089767456
1980-03-27,2.185184955596924
1980-03-28,2.185184955596924
1980-03-31,2.185184955596924
1980-04-01,2.185184955596924
1980-04-02,2.185184955596924
1980-04-03,2.259258985519409
1980-04-07,2.2037041187286377
1980-04-08,2.240741014480591
1980-04-09,2.240741014480591
1980-04-10,2.240741014480591
1980-04-11,2.222222089767456
1980-04-14,2.222222089767456
1980-04-15,2.222222089767456
1980-04-16,2.222222089767456
1980-04-17,2.222222089767456
1980-04-18,2.222222089767456
1980-04-21,2.222222089767456
1980-04-22,2.185184955596924
1980-04-23,2.2037041187286377
1980-04-24,2.222222089767456
1980-04-25,2.259258985519409
1980-04-28,2.222222089767456
1980-04-29,2.222222089767456
1980-04-30,2.185184955596924
1980-05-01,2.185184955596924
1980-05-02,2.185184955596924
1980-05-05,2.2037041187286377
1980-05-06,2.185184955596924
1980-05-07,2.185184955596924
1980-05-08,2.222222089767456
1980-05-09,2.222222089767456
1980-05-12,2.222222089767456
1980-05-13,2.222222089767456
1980-05-14,2.259258985519409
1980-05-15,2.240741014480591
1980-05-16,2.240741014480591
1980-05-19,2.240741014480591
1980-05-20,2.2962958812713623
1980-05-21,2.259258985519409
1980-05-22,2.259258985519409
1980-05-23,2.259258985519409
1980-05-27,2.259258985519409
1980-05-28,2.2037041187286377
1980-05-29,2.222222089767456
1980-05-30,2.222222089767456
1980-06-02,2.222222089767456
1980-06-03,2.185184955596924
1980-06-04,2.222222089767456
1980-06-05,2.185184955596924
1980-06-06,2.185184955596924
1980-06-09,2.1666669845581055
1980-06-10,2.1666669845581055
1980-06-11,2.185184955596924
1980-06-12,2.2037041187286377
1980-06-13,2.2037041187286377
1980-06-16,2.259258985519409
1980-06-17,2.259258985519409
1980-06-18,2.314815044403076
1980-06-19,2.3333330154418945
1980-06-20,2.3333330154418945
1980-06-23,2.2962958812713623
1980-06-24,2.2962958812713623
1980-06-25,2.2962958812713623
1980-06-26,2.2962958812713623
1980-06-27,2.259258985519409
1980-06-30,2.259258985519409
1980-07-01,2.2962958812713623
1980-07-02,2.2962958812713623
1980-07-03,2.3703699111938477
1980-07-07,2.4259259700775146
1980-07-08,2.314815044403076
1980-07-09,2.2962958812713623
1980-07-10,2.2962958812713623
1980-07-11,2.2962958812713623
1980-07-14,2.2962958812713623
1980-07-15,2.3703699111938477
1980-07-16,2.3333330154418945
1980-07-17,2.2962958812713623
1980-07-18,2.2962958812713623
1980-07-21,2.2962958812713623
1980-07-22,2.2962958812713623
1980-07-23,2.259258985519409
1980-07-24,2.240741014480591
1980-07-25,2.2037041187286377
1980-07-28,2.240741014480591
1980-07-29,2.222222089767456
1980-07-30,2.185184955596924
1980-07-31,2.1666669845581055
1980-08-01,2.1666669845581055
1980-08-04,2.222222089767456
1980-08-05,2.222222089767456
1980-08-06,2.2037041187286377
1980-08-07,2.185184955596924
1980-08-08,2.277777910232544
1980-08-11,2.2962958812713623
1980-08-12,2.2962958812713623
1980-08-13,2.259258985519409
1980-08-14,2.259258985519409
1980-08-15,2.2962958812713623
1980-08-18,2.259258985519409
1980-08-19,2.259258985519409
1980-08-20,2.240741014480591
1980-08-21,2.259258985519409
1980-08-22,2.240741014480591
1980-08-25,2.222222089767456
1980-08-26,2.222222089767456
1980-08-27,2.222222089767456
1980-08-28,2.222222089767456
