,BSVN
2018-09-20,19.09000015258789
2018-09-21,19.100000381469727
2018-09-24,19.110000610351562
2018-09-25,19.09000015258789
2018-09-26,19.0
2018-09-27,19.0
2018-09-28,19.25
2018-10-01,19.020000457763672
2018-10-02,19.010000228881836
2018-10-03,18.950000762939453
2018-10-04,18.75
2018-10-05,18.549999237060547
2018-10-08,18.200000762939453
2018-10-09,18.149999618530273
2018-10-10,18.3700008392334
2018-10-11,18.1299991607666
2018-10-12,18.549999237060547
2018-10-15,19.0
2018-10-16,18.81999969482422
2018-10-17,18.989999771118164
2018-10-18,18.549999237060547
2018-10-19,18.5
2018-10-22,17.790000915527344
2018-10-23,17.469999313354492
2018-10-24,15.130000114440918
2018-10-25,15.569999694824219
2018-10-26,15.25
2018-10-29,16.899999618530273
2018-10-30,15.670000076293945
2018-10-31,16.549999237060547
2018-11-01,18.350000381469727
2018-11-02,18.8799991607666
2018-11-05,18.899999618530273
2018-11-06,18.219999313354492
2018-11-07,18.5
2018-11-08,18.350000381469727
2018-11-09,18.649999618530273
2018-11-12,18.170000076293945
2018-11-13,18.350000381469727
2018-11-14,18.489999771118164
2018-11-15,18.799999237060547
2018-11-16,18.799999237060547
2018-11-19,18.75
2018-11-20,17.399999618530273
2018-11-21,17.940000534057617
2018-11-23,18.700000762939453
2018-11-26,17.799999237060547
2018-11-27,17.809999465942383
2018-11-28,17.790000915527344
2018-11-29,18.399999618530273
2018-11-30,18.489999771118164
2018-12-03,17.75
2018-12-04,18.06999969482422
2018-12-06,17.260000228881836
2018-12-07,17.510000228881836
2018-12-10,17.450000762939453
2018-12-11,17.5
2018-12-12,17.399999618530273
2018-12-13,17.18000030517578
2018-12-14,16.969999313354492
2018-12-17,17.010000228881836
2018-12-18,16.440000534057617
2018-12-19,16.280000686645508
2018-12-20,16.010000228881836
2018-12-21,15.0
2018-12-24,13.270000457763672
2018-12-26,12.15999984741211
2018-12-27,11.949999809265137
2018-12-28,12.600000381469727
2018-12-31,13.350000381469727
2019-01-02,13.350000381469727
2019-01-03,13.399999618530273
2019-01-04,14.800000190734863
2019-01-07,14.239999771118164
2019-01-08,14.609999656677246
2019-01-09,14.9399995803833
2019-01-10,14.470000267028809
2019-01-11,14.75
2019-01-14,14.510000228881836
2019-01-15,14.75
2019-01-16,15.199999809265137
2019-01-17,15.5
2019-01-18,15.649999618530273
2019-01-22,15.510000228881836
2019-01-23,15.699999809265137
2019-01-24,15.25
2019-01-25,15.149999618530273
2019-01-28,15.170000076293945
2019-01-29,15.020000457763672
2019-01-30,15.5
2019-01-31,15.59000015258789
2019-02-01,16.670000076293945
2019-02-04,16.81999969482422
2019-02-05,17.020000457763672
2019-02-06,16.700000762939453
2019-02-07,16.889999389648438
2019-02-08,16.25
2019-02-11,16.3799991607666
2019-02-12,16.3799991607666
2019-02-13,16.290000915527344
2019-02-14,16.420000076293945
2019-02-15,16.440000534057617
2019-02-19,16.469999313354492
2019-02-20,16.25
2019-02-21,16.450000762939453
2019-02-22,16.25
2019-02-25,16.920000076293945
2019-02-26,16.309999465942383
2019-02-27,16.350000381469727
2019-02-28,16.0
2019-03-01,16.309999465942383
2019-03-04,16.270000457763672
2019-03-05,15.930000305175781
2019-03-06,15.770000457763672
2019-03-07,15.569999694824219
2019-03-08,15.40999984741211
2019-03-11,15.3100004196167
2019-03-12,15.510000228881836
2019-03-13,15.569999694824219
2019-03-14,16.15999984741211
2019-03-15,15.430000305175781
2019-03-18,15.829999923706055
2019-03-19,15.170000076293945
2019-03-20,15.100000381469727
2019-03-21,15.319999694824219
2019-03-22,15.100000381469727
2019-03-25,16.1200008392334
2019-03-26,16.299999237060547
2019-03-27,17.0
2019-03-28,17.170000076293945
2019-03-29,17.3700008392334
2019-04-01,17.079999923706055
2019-04-02,17.34000015258789
2019-04-03,16.520000457763672
2019-04-04,17.329999923706055
2019-04-05,17.5
2019-04-08,17.209999084472656
2019-04-09,17.020000457763672
2019-04-10,17.75
2019-04-11,16.850000381469727
2019-04-12,17.700000762939453
2019-04-15,17.5
2019-04-16,17.479999542236328
2019-04-17,17.450000762939453
2019-04-18,17.440000534057617
2019-04-22,17.420000076293945
2019-04-23,17.5
2019-04-24,17.75
2019-04-25,17.610000610351562
2019-04-26,17.809999465942383
2019-04-29,17.670000076293945
2019-04-30,17.31999969482422
2019-05-01,17.270000457763672
2019-05-02,17.440000534057617
2019-05-03,17.649999618530273
2019-05-06,17.649999618530273
2019-05-07,17.75
2019-05-08,17.899999618530273
2019-05-09,17.600000381469727
2019-05-10,17.68000030517578
2019-05-13,17.5
2019-05-14,17.700000762939453
2019-05-15,17.700000762939453
2019-05-16,17.450000762939453
2019-05-17,17.510000228881836
2019-05-20,17.479999542236328
2019-05-21,17.5
2019-05-22,17.270000457763672
2019-05-23,17.270000457763672
2019-05-24,17.5
2019-05-28,17.25
2019-05-29,17.309999465942383
2019-05-30,17.450000762939453
2019-05-31,16.940000534057617
2019-06-03,17.09000015258789
2019-06-04,17.209999084472656
2019-06-05,17.049999237060547
2019-06-06,16.959999084472656
2019-06-07,17.0
2019-06-10,17.06999969482422
2019-06-11,17.0
2019-06-12,16.899999618530273
2019-06-13,16.75
2019-06-14,16.600000381469727
2019-06-17,16.75
2019-06-18,16.950000762939453
2019-06-19,16.950000762939453
2019-06-20,16.690000534057617
2019-06-21,16.950000762939453
2019-06-24,16.649999618530273
2019-06-25,16.450000762939453
2019-06-26,16.600000381469727
2019-06-27,16.93000030517578
2019-06-28,18.489999771118164
2019-07-01,18.260000228881836
2019-07-02,17.81999969482422
2019-07-03,18.149999618530273
2019-07-05,17.799999237060547
2019-07-08,18.1200008392334
2019-07-09,18.139999389648438
2019-07-10,18.219999313354492
2019-07-11,18.09000015258789
2019-07-12,17.799999237060547
2019-07-15,17.969999313354492
2019-07-16,17.860000610351562
2019-07-17,17.860000610351562
2019-07-18,17.950000762939453
2019-07-19,18.0
2019-07-22,17.579999923706055
2019-07-23,17.8700008392334
2019-07-24,17.760000228881836
2019-07-25,17.84000015258789
2019-07-26,18.610000610351562
2019-07-29,18.56999969482422
2019-07-30,18.600000381469727
2019-07-31,18.90999984741211
2019-08-01,18.84000015258789
2019-08-02,18.450000762939453
2019-08-05,17.5
2019-08-06,17.440000534057617
2019-08-07,16.559999465942383
2019-08-08,16.950000762939453
2019-08-09,16.709999084472656
2019-08-12,17.06999969482422
2019-08-13,17.43000030517578
2019-08-14,16.450000762939453
2019-08-15,16.68000030517578
2019-08-16,17.350000381469727
2019-08-19,17.5
2019-08-20,16.600000381469727
2019-08-21,16.520000457763672
2019-08-22,16.40999984741211
2019-08-23,16.209999084472656
2019-08-26,16.899999618530273
2019-08-27,16.450000762939453
2019-08-28,17.100000381469727
2019-08-29,17.5
2019-08-30,17.989999771118164
2019-09-03,17.489999771118164
2019-09-04,17.760000228881836
2019-09-05,17.700000762939453
2019-09-06,17.65999984741211
2019-09-09,17.809999465942383
2019-09-10,17.920000076293945
2019-09-11,18.239999771118164
2019-09-12,18.149999618530273
2019-09-13,18.040000915527344
2019-09-16,18.549999237060547
2019-09-17,18.65999984741211
2019-09-18,18.709999084472656
2019-09-19,18.56999969482422
2019-09-20,18.520000457763672
2019-09-23,18.729999542236328
2019-09-24,18.579999923706055
2019-09-25,18.770000457763672
2019-09-26,18.799999237060547
2019-09-27,18.940000534057617
2019-09-30,18.799999237060547
2019-10-01,18.649999618530273
2019-10-02,18.790000915527344
2019-10-03,18.739999771118164
2019-10-04,18.350000381469727
2019-10-07,17.799999237060547
2019-10-08,17.549999237060547
2019-10-09,17.5
2019-10-10,17.559999465942383
2019-10-11,18.06999969482422
2019-10-14,18.0
2019-10-15,17.889999389648438
2019-10-16,18.049999237060547
2019-10-17,18.0
2019-10-18,18.100000381469727
2019-10-21,18.100000381469727
2019-10-22,17.959999084472656
2019-10-23,18.09000015258789
2019-10-24,18.100000381469727
2019-10-25,18.100000381469727
2019-10-28,18.100000381469727
2019-10-29,18.200000762939453
2019-10-30,18.200000762939453
2019-10-31,18.200000762939453
2019-11-01,18.739999771118164
2019-11-04,18.6299991607666
2019-11-05,18.979999542236328
2019-11-06,18.700000762939453
2019-11-07,18.75
2019-11-08,18.719999313354492
2019-11-11,18.950000762939453
2019-11-12,18.959999084472656
2019-11-13,19.06999969482422
2019-11-14,18.75
2019-11-15,18.850000381469727
2019-11-18,18.920000076293945
2019-11-19,19.100000381469727
2019-11-20,18.760000228881836
2019-11-21,18.940000534057617
2019-11-22,19.010000228881836
2019-11-25,19.09000015258789
2019-11-26,18.809999465942383
2019-11-27,19.059999465942383
2019-11-29,18.90999984741211
2019-12-02,18.979999542236328
2019-12-03,18.8799991607666
2019-12-04,18.81999969482422
2019-12-05,19.030000686645508
2019-12-06,18.850000381469727
2019-12-09,18.75
2019-12-10,19.100000381469727
2019-12-11,19.0
2019-12-12,18.829999923706055
2019-12-13,19.0
2019-12-16,19.18000030517578
2019-12-17,19.25
2019-12-18,19.3700008392334
2019-12-19,19.139999389648438
2019-12-20,19.579999923706055
2019-12-23,19.600000381469727
2019-12-24,19.520000457763672
2019-12-26,19.540000915527344
2019-12-27,18.969999313354492
2019-12-30,18.420000076293945
2019-12-31,18.959999084472656
2020-01-02,18.920000076293945
2020-01-03,18.510000228881836
2020-01-06,18.489999771118164
2020-01-07,18.309999465942383
2020-01-08,18.5
2020-01-09,18.6299991607666
2020-01-10,18.549999237060547
2020-01-13,18.68000030517578
2020-01-14,18.600000381469727
2020-01-15,18.690000534057617
2020-01-16,18.799999237060547
2020-01-17,18.65999984741211
2020-01-21,18.719999313354492
2020-01-22,18.799999237060547
2020-01-23,18.700000762939453
2020-01-24,18.65999984741211
2020-01-27,18.420000076293945
2020-01-28,18.479999542236328
2020-01-29,18.56999969482422
2020-01-30,18.540000915527344
2020-01-31,18.190000534057617
2020-02-03,18.200000762939453
2020-02-04,18.799999237060547
2020-02-05,18.899999618530273
