,DLPN
2006-11-02,960.0
2006-11-03,960.0
2006-11-06,960.0
2006-11-07,960.0
2006-11-08,960.0
2006-11-09,960.0
2006-11-10,960.0
2006-11-13,960.0
2006-11-14,960.0
2006-11-15,960.0
2006-11-16,960.0
2006-11-17,960.0
2006-11-20,960.0
2006-11-21,960.0
2006-11-22,960.0
2006-11-24,960.0
2006-11-27,960.0
2006-11-28,960.0
2006-11-29,960.0
2006-11-30,960.0
2006-12-01,960.0
2006-12-04,960.0
2006-12-05,960.0
2006-12-06,1530.0
2006-12-07,1530.0
2006-12-08,1530.0
2006-12-11,1530.0
2006-12-12,1530.0
2006-12-13,1530.0
2006-12-14,1530.0
2006-12-15,1530.0
2006-12-18,1530.0
2006-12-19,1530.0
2006-12-20,1530.0
2006-12-21,1530.0
2006-12-22,1530.0
2006-12-26,1530.0
2006-12-27,1530.0
2006-12-28,1530.0
2006-12-29,1530.0
2007-01-03,1530.0
2007-01-04,6000.0
2007-01-05,7500.0
2007-01-08,7500.0
2007-01-09,7500.0
2007-01-10,4500.0
2007-01-11,4500.0
2007-01-12,4500.0
2007-01-16,4500.0
2007-01-17,4500.0
2007-01-18,810.0
2007-01-19,4500.0
2007-01-22,4500.0
2007-01-23,720.0
2007-01-24,480.0
2007-01-25,600.0
2007-01-26,600.0
2007-01-29,870.0
2007-01-30,870.0
2007-01-31,540.0
2007-02-01,450.0
2007-02-02,450.0
2007-02-05,360.0
2007-02-06,360.0
2007-02-07,360.0
2007-02-08,360.0
2007-02-09,360.0
2007-02-12,300.0
2007-02-13,300.0
2007-02-14,300.0
2007-02-15,750.0
2007-02-16,450.0
2007-02-20,600.0
2007-02-21,600.0
2007-02-22,900.0
2007-02-23,900.0
2007-02-26,900.0
2007-02-27,780.0
2007-02-28,780.0
2007-03-01,780.0
2007-03-02,780.0
2007-03-05,780.0
2007-03-06,780.0
2007-03-07,780.0
2007-03-08,780.0
2007-03-09,780.0
2007-03-12,780.0
2007-03-13,540.0
2007-03-14,450.0
2007-03-15,450.0
2007-03-16,450.0
2007-03-19,450.0
2007-03-20,360.0
2007-03-21,300.0
2007-03-22,240.0
2007-03-23,240.0
2007-03-26,240.0
2007-03-27,240.0
2007-03-28,240.0
2007-03-29,240.0
2007-03-30,240.0
2007-04-02,240.0
2007-04-03,240.0
2007-04-04,240.0
2007-04-05,240.0
2007-04-09,240.0
2007-04-10,240.0
2007-04-11,240.0
2007-04-12,240.0
2007-04-13,150.0
2007-04-16,150.0
2007-04-17,150.0
2007-04-18,150.0
2007-04-19,150.0
2007-04-20,150.0
2007-04-23,150.0
2007-04-24,150.0
2007-04-25,150.0
2007-04-26,300.0
2007-04-27,300.0
2007-04-30,300.0
2007-05-01,300.0
2007-05-02,300.0
2007-05-03,300.0
2007-05-04,240.0
2007-05-07,240.0
2007-05-08,240.0
2007-05-09,240.0
2007-05-10,240.0
2007-05-11,240.0
2007-05-14,270.0
2007-05-15,300.0
2007-05-16,300.0
2007-05-17,330.0
2007-05-18,300.0
2007-05-21,300.0
2007-05-22,250.0
2007-05-23,328.0
2007-05-24,300.0
2007-05-25,300.0
2007-05-29,350.0
2007-05-30,420.0
2007-05-31,550.0
2007-06-01,570.0
2007-06-04,590.0
2007-06-05,610.0
2007-06-06,650.0
2007-06-07,600.0
2007-06-08,650.0
2007-06-11,656.0
2007-06-12,600.0
2007-06-13,630.0
2007-06-14,650.0
2007-06-15,650.0
2007-06-18,650.0
2007-06-19,600.0
2007-06-20,600.0
2007-06-21,370.0
2007-06-22,370.0
2007-06-25,500.0
2007-06-26,500.0
2007-06-27,570.0
2007-06-28,570.0
2007-06-29,570.0
2007-07-02,570.0
2007-07-03,570.0
2007-07-05,262.0
2007-07-06,360.0
2007-07-09,320.0
2007-07-10,340.0
2007-07-11,310.0
2007-07-12,590.0
2007-07-13,540.0
2007-07-16,550.0
2007-07-17,590.0
2007-07-18,540.0
2007-07-19,480.0
2007-07-20,460.0
2007-07-23,500.0
2007-07-24,520.0
2007-07-25,460.0
2007-07-26,480.0
2007-07-27,270.0
2007-07-30,420.0
2007-07-31,420.0
2007-08-01,400.0
2007-08-02,400.0
2007-08-03,420.0
2007-08-06,400.0
2007-08-07,390.0
2007-08-08,390.0
2007-08-09,390.0
2007-08-10,390.0
2007-08-13,390.0
2007-08-14,390.0
2007-08-15,280.0
2007-08-16,308.0
2007-08-17,290.0
2007-08-20,270.0
2007-08-21,240.0
2007-08-22,240.0
2007-08-23,240.0
2007-08-24,300.0
2007-08-27,240.0
2007-08-28,260.0
2007-08-29,220.0
2007-08-30,220.0
2007-08-31,220.0
2007-09-04,190.0
2007-09-05,130.0
2007-09-06,210.0
2007-09-07,210.0
2007-09-10,250.0
2007-09-11,210.0
2007-09-12,210.0
2007-09-13,200.0
2007-09-14,200.0
2007-09-17,200.0
2007-09-18,200.0
2007-09-19,200.0
2007-09-20,200.0
2007-09-21,220.0
2007-09-24,140.0
2007-09-25,140.0
2007-09-26,200.0
2007-09-27,200.0
2007-09-28,200.0
2007-10-01,200.0
2007-10-02,202.0
2007-10-03,202.0
2007-10-04,250.0
2007-10-05,360.0
2007-10-08,300.0
2007-10-09,300.0
2007-10-10,300.0
2007-10-11,220.0
2007-10-12,220.0
2007-10-15,240.0
2007-10-16,200.0
2007-10-17,230.0
2007-10-18,260.0
2007-10-19,260.0
2007-10-22,280.0
2007-10-23,280.0
2007-10-24,290.0
2007-10-25,302.0
2007-10-26,302.0
2007-10-29,340.0
2007-10-30,362.0
2007-10-31,400.0
2007-11-01,400.0
2007-11-02,350.0
2007-11-05,350.0
2007-11-06,400.0
2007-11-07,420.0
2007-11-08,400.0
2007-11-09,370.0
2007-11-12,320.0
2007-11-13,270.0
2007-11-14,378.0
2007-11-15,300.0
2007-11-16,300.0
2007-11-19,300.0
2007-11-20,300.0
2007-11-21,300.0
2007-11-23,270.0
2007-11-26,280.0
2007-11-27,360.0
2007-11-28,270.0
2007-11-29,270.0
2007-11-30,300.0
2007-12-03,300.0
2007-12-04,300.0
2007-12-05,300.0
2007-12-06,300.0
2007-12-07,280.0
2007-12-10,280.0
2007-12-11,360.0
2007-12-12,370.0
2007-12-13,330.0
2007-12-14,340.0
2007-12-17,340.0
2007-12-18,300.0
2007-12-19,330.0
2007-12-20,320.0
2007-12-21,280.0
2007-12-24,340.0
2007-12-26,282.0
2007-12-27,330.0
2007-12-28,282.0
2007-12-31,290.0
2008-01-02,338.0
2008-01-03,296.0
2008-01-04,280.0
2008-01-07,280.0
2008-01-08,280.0
2008-01-09,280.0
2008-01-10,280.0
2008-01-11,280.0
2008-01-14,280.0
2008-01-15,280.0
2008-01-16,300.0
2008-01-17,260.0
2008-01-18,280.0
