,FCFS
1991-06-10,1.1666669845581055
1991-06-11,1.1666669845581055
1991-06-12,1.1666669845581055
1991-06-13,1.1875
1991-06-14,1.1875
1991-06-17,1.125
1991-06-18,1.1041669845581055
1991-06-19,1.1041669845581055
1991-06-20,1.1041669845581055
1991-06-21,1.1041669845581055
1991-06-24,1.0833330154418945
1991-06-25,1.0833330154418945
1991-06-26,1.0625
1991-06-27,1.0625
1991-06-28,1.0833330154418945
1991-07-01,1.0416669845581055
1991-07-02,1.0625
1991-07-03,1.0625
1991-07-05,1.0833330154418945
1991-07-08,1.1458330154418945
1991-07-09,1.1458330154418945
1991-07-10,1.1875
1991-07-11,1.1875
1991-07-12,1.2083330154418945
1991-07-15,1.3333330154418945
1991-07-16,1.375
1991-07-17,1.2916669845581055
1991-07-18,1.3125
1991-07-19,1.2916669845581055
1991-07-22,1.25
1991-07-23,1.2083330154418945
1991-07-24,1.25
1991-07-25,1.25
1991-07-26,1.2916669845581055
1991-07-29,1.2916669845581055
1991-07-30,1.2916669845581055
1991-07-31,1.375
1991-08-01,1.3333330154418945
1991-08-02,1.25
1991-08-05,1.2708330154418945
1991-08-06,1.3125
1991-08-07,1.2708330154418945
1991-08-08,1.2708330154418945
1991-08-09,1.2708330154418945
1991-08-12,1.2708330154418945
1991-08-13,1.2916669845581055
1991-08-14,1.2708330154418945
1991-08-15,1.2916669845581055
1991-08-16,1.2291669845581055
1991-08-19,1.2291669845581055
1991-08-20,1.2291669845581055
1991-08-21,1.25
1991-08-22,1.1666669845581055
1991-08-23,1.1666669845581055
1991-08-26,1.1666669845581055
1991-08-27,1.2083330154418945
1991-08-28,1.2708330154418945
1991-08-29,1.2916669845581055
1991-08-30,1.3125
1991-09-03,1.3125
1991-09-04,1.3125
1991-09-05,1.4166669845581055
1991-09-06,1.4583330154418945
1991-09-09,1.4583330154418945
1991-09-10,1.2916669845581055
1991-09-11,1.3125
1991-09-12,1.3333330154418945
1991-09-13,1.3541669845581055
1991-09-16,1.3541669845581055
1991-09-17,1.3541669845581055
1991-09-18,1.3333330154418945
1991-09-19,1.2916669845581055
1991-09-20,1.2916669845581055
1991-09-23,1.2916669845581055
1991-09-24,1.2916669845581055
1991-09-25,1.2916669845581055
1991-09-26,1.25
1991-09-27,1.25
1991-09-30,1.25
1991-10-01,1.25
1991-10-02,1.2708330154418945
1991-10-03,1.25
1991-10-04,1.25
