,FAD
2007-05-11,29.889999389648438
2007-05-14,29.889999389648438
2007-05-15,29.889999389648438
2007-05-16,29.889999389648438
2007-05-17,29.889999389648438
2007-05-18,29.889999389648438
2007-05-21,29.889999389648438
2007-05-22,29.889999389648438
2007-05-23,30.610000610351562
2007-05-24,30.610000610351562
2007-05-25,30.200000762939453
2007-05-29,30.239999771118164
2007-05-30,30.239999771118164
2007-05-31,30.239999771118164
2007-06-01,30.920000076293945
2007-06-04,30.920000076293945
2007-06-05,30.920000076293945
2007-06-06,30.920000076293945
2007-06-07,29.959999084472656
2007-06-08,29.8799991607666
2007-06-11,29.8799991607666
2007-06-12,29.8799991607666
2007-06-13,29.8799991607666
2007-06-14,30.549999237060547
2007-06-15,30.90999984741211
2007-06-18,30.75
2007-06-19,30.729999542236328
2007-06-20,30.729999542236328
2007-06-21,30.5
2007-06-22,30.18000030517578
2007-06-25,30.18000030517578
2007-06-26,29.979999542236328
2007-06-27,30.200000762939453
2007-06-28,30.420000076293945
2007-06-29,30.219999313354492
2007-07-02,30.549999237060547
2007-07-03,30.799999237060547
2007-07-05,30.860000610351562
2007-07-06,31.06999969482422
2007-07-09,31.06999969482422
2007-07-10,30.690000534057617
2007-07-11,30.829999923706055
2007-07-12,31.34000015258789
2007-07-13,31.489999771118164
2007-07-16,31.280000686645508
2007-07-17,31.440000534057617
2007-07-18,31.209999084472656
2007-07-19,31.510000228881836
2007-07-20,31.290000915527344
2007-07-23,31.170000076293945
2007-07-24,30.8799991607666
2007-07-25,30.489999771118164
2007-07-26,29.59000015258789
2007-07-27,29.3799991607666
2007-07-30,29.450000762939453
2007-07-31,29.34000015258789
2007-08-01,29.15999984741211
2007-08-02,29.15999984741211
2007-08-03,28.84000015258789
2007-08-06,28.920000076293945
2007-08-07,29.40999984741211
2007-08-08,29.43000030517578
2007-08-09,29.06999969482422
2007-08-10,29.190000534057617
2007-08-13,29.190000534057617
2007-08-14,28.75
2007-08-15,28.18000030517578
2007-08-16,28.059999465942383
2007-08-17,28.280000686645508
2007-08-20,28.670000076293945
2007-08-21,28.90999984741211
2007-08-22,29.18000030517578
2007-08-23,29.229999542236328
2007-08-24,29.649999618530273
2007-08-27,29.440000534057617
2007-08-28,28.969999313354492
2007-08-29,29.309999465942383
2007-08-30,29.260000228881836
2007-08-31,29.6299991607666
2007-09-04,30.079999923706055
2007-09-05,29.6200008392334
2007-09-06,29.75
2007-09-07,29.350000381469727
2007-09-10,29.399999618530273
2007-09-11,29.549999237060547
2007-09-12,29.65999984741211
2007-09-13,29.899999618530273
2007-09-14,29.510000228881836
2007-09-17,29.690000534057617
2007-09-18,29.829999923706055
2007-09-19,30.860000610351562
2007-09-20,30.670000076293945
2007-09-21,30.799999237060547
2007-09-24,30.579999923706055
2007-09-25,30.329999923706055
2007-09-26,30.829999923706055
2007-09-27,30.969999313354492
2007-09-28,30.850000381469727
2007-10-01,31.329999923706055
2007-10-02,31.420000076293945
2007-10-03,31.290000915527344
2007-10-04,31.290000915527344
2007-10-05,31.290000915527344
2007-10-08,31.290000915527344
2007-10-09,31.290000915527344
2007-10-10,32.06999969482422
2007-10-11,31.739999771118164
2007-10-12,31.739999771118164
2007-10-15,31.739999771118164
2007-10-16,31.739999771118164
2007-10-17,31.540000915527344
2007-10-18,31.809999465942383
2007-10-19,31.010000228881836
2007-10-22,30.889999389648438
2007-10-23,31.350000381469727
2007-10-24,31.219999313354492
2007-10-25,31.139999389648438
2007-10-26,31.139999389648438
2007-10-29,31.709999084472656
2007-10-30,31.5
2007-10-31,31.700000762939453
2007-11-01,31.06999969482422
2007-11-02,31.200000762939453
2007-11-05,31.1299991607666
2007-11-06,31.309999465942383
2007-11-07,30.739999771118164
2007-11-08,30.649999618530273
2007-11-09,30.100000381469727
2007-11-12,29.479999542236328
2007-11-13,30.25
2007-11-14,30.31999969482422
2007-11-15,29.809999465942383
2007-11-16,29.799999237060547
2007-11-19,29.229999542236328
2007-11-20,29.219999313354492
2007-11-21,29.010000228881836
2007-11-23,29.010000228881836
2007-11-26,29.010000228881836
2007-11-27,29.399999618530273
2007-11-28,30.25
2007-11-29,30.25
2007-11-30,30.3700008392334
2007-12-03,30.329999923706055
2007-12-04,30.139999389648438
2007-12-05,30.6200008392334
