,BPTH
2008-03-04,180.0
2008-03-05,104.0
2008-03-06,104.0
2008-03-07,180.0
2008-03-10,180.0
2008-03-11,180.0
2008-03-12,180.0
2008-03-13,180.0
2008-03-14,180.0
2008-03-17,180.0
2008-03-18,180.0
2008-03-19,180.0
2008-03-20,180.0
2008-03-24,180.0
2008-03-25,180.0
2008-03-26,180.0
2008-03-27,180.0
2008-03-28,180.0
2008-03-31,180.0
2008-04-01,180.0
2008-04-02,180.0
2008-04-03,180.0
2008-04-04,180.0
2008-04-07,180.0
2008-04-08,180.0
2008-04-09,180.0
2008-04-10,180.0
2008-04-11,180.0
2008-04-14,180.0
2008-04-15,180.0
2008-04-16,180.0
2008-04-17,180.0
2008-04-18,180.0
2008-04-21,180.0
2008-04-22,180.0
2008-04-23,180.0
2008-04-24,180.0
2008-04-25,180.0
2008-04-28,202.0
2008-04-29,202.0
2008-04-30,202.0
2008-05-01,202.0
2008-05-02,202.0
2008-05-05,210.0
2008-05-06,250.0
2008-05-07,420.0
2008-05-08,550.0
2008-05-09,650.0
2008-05-12,850.0
2008-05-13,1148.0
2008-05-14,900.0
2008-05-15,780.0
2008-05-16,1000.0
2008-05-19,1000.0
2008-05-20,1000.0
2008-05-21,700.0
2008-05-22,800.0
2008-05-23,850.0
2008-05-27,850.0
2008-05-28,800.0
2008-05-29,800.0
2008-05-30,800.0
2008-06-02,800.0
2008-06-03,800.0
2008-06-04,800.0
2008-06-05,700.0
2008-06-06,700.0
2008-06-09,650.0
2008-06-10,650.0
2008-06-11,650.0
2008-06-12,630.0
2008-06-13,630.0
2008-06-16,650.0
2008-06-17,550.0
2008-06-18,550.0
2008-06-19,600.0
2008-06-20,552.0
2008-06-23,552.0
2008-06-24,552.0
2008-06-25,520.0
2008-06-26,480.0
2008-06-27,480.0
2008-06-30,480.0
2008-07-01,520.0
2008-07-02,520.0
2008-07-03,520.0
2008-07-07,500.0
2008-07-08,500.0
2008-07-09,500.0
2008-07-10,500.0
2008-07-11,460.0
2008-07-14,460.0
2008-07-15,460.0
2008-07-16,452.0
2008-07-17,452.0
2008-07-18,452.0
2008-07-21,450.0
2008-07-22,450.0
2008-07-23,450.0
2008-07-24,400.0
2008-07-25,400.0
2008-07-28,400.0
2008-07-29,400.0
2008-07-30,400.0
2008-07-31,360.0
2008-08-01,360.0
2008-08-04,400.0
2008-08-05,400.0
2008-08-06,400.0
2008-08-07,400.0
2008-08-08,400.0
2008-08-11,420.0
2008-08-12,420.0
2008-08-13,420.0
2008-08-14,340.0
2008-08-15,340.0
2008-08-18,340.0
2008-08-19,340.0
2008-08-20,360.0
2008-08-21,360.0
2008-08-22,360.0
2008-08-25,360.0
2008-08-26,360.0
2008-08-27,350.0
2008-08-28,340.0
2008-08-29,340.0
2008-09-02,340.0
2008-09-03,340.0
2008-09-04,420.0
2008-09-05,340.0
2008-09-08,340.0
2008-09-09,340.0
2008-09-10,330.0
2008-09-11,400.0
2008-09-12,400.0
2008-09-15,400.0
2008-09-16,400.0
2008-09-17,400.0
2008-09-18,400.0
2008-09-19,400.0
2008-09-22,260.0
2008-09-23,340.0
2008-09-24,300.0
2008-09-25,280.0
2008-09-26,330.0
2008-09-29,280.0
2008-09-30,280.0
2008-10-01,280.0
2008-10-02,280.0
2008-10-03,280.0
2008-10-06,280.0
2008-10-07,280.0
2008-10-08,280.0
2008-10-09,280.0
2008-10-10,280.0
2008-10-13,280.0
2008-10-14,240.0
2008-10-15,240.0
2008-10-16,240.0
2008-10-17,240.0
2008-10-20,240.0
2008-10-21,240.0
2008-10-22,240.0
2008-10-23,240.0
2008-10-24,240.0
2008-10-27,240.0
2008-10-28,240.0
2008-10-29,240.0
2008-10-30,240.0
2008-10-31,240.0
2008-11-03,240.0
2008-11-04,240.0
2008-11-05,240.0
2008-11-06,240.0
2008-11-07,202.0
2008-11-10,202.0
2008-11-11,202.0
2008-11-12,180.0
2008-11-13,140.0
2008-11-14,140.0
2008-11-17,140.0
2008-11-18,210.0
2008-11-19,180.0
2008-11-20,180.0
2008-11-21,180.0
2008-11-24,180.0
2008-11-25,160.0
2008-11-26,160.0
2008-11-28,160.0
2008-12-01,160.0
2008-12-02,80.0
2008-12-03,80.0
2008-12-04,80.0
2008-12-05,60.0
2008-12-08,80.0
2008-12-09,90.0
2008-12-10,90.0
2008-12-11,90.0
2008-12-12,110.0
2008-12-15,110.0
2008-12-16,100.0
2008-12-17,100.0
2008-12-18,60.0
2008-12-19,102.0
2008-12-22,70.0
2008-12-23,40.0
2008-12-24,50.0
2008-12-26,50.0
2008-12-29,52.0
2008-12-30,70.0
2008-12-31,110.0
2009-01-02,110.0
2009-01-05,110.0
2009-01-06,110.0
2009-01-07,110.0
2009-01-08,200.0
2009-01-09,200.0
2009-01-12,200.0
2009-01-13,200.0
2009-01-14,200.0
2009-01-15,170.0
2009-01-16,110.0
2009-01-20,80.0
2009-01-21,120.0
2009-01-22,120.0
2009-01-23,120.0
2009-01-26,120.0
2009-01-27,130.0
2009-01-28,130.0
2009-01-29,130.0
2009-01-30,130.0
2009-02-02,130.0
2009-02-03,120.0
2009-02-04,120.0
2009-02-05,80.0
2009-02-06,70.0
2009-02-09,70.0
2009-02-10,70.0
2009-02-11,70.0
2009-02-12,70.0
2009-02-13,70.0
2009-02-17,70.0
2009-02-18,74.0
2009-02-19,74.0
2009-02-20,94.0
2009-02-23,94.0
2009-02-24,94.0
2009-02-25,94.0
2009-02-26,94.0
2009-02-27,72.0
2009-03-02,120.0
2009-03-03,80.0
2009-03-04,60.0
2009-03-05,60.0
2009-03-06,60.0
2009-03-09,38.0
2009-03-10,40.0
2009-03-11,48.0
2009-03-12,46.0
2009-03-13,44.0
2009-03-16,48.0
2009-03-17,44.0
2009-03-18,38.0
2009-03-19,42.0
2009-03-20,42.0
2009-03-23,38.0
2009-03-24,34.0
2009-03-25,34.0
2009-03-26,34.0
2009-03-27,32.0
2009-03-30,34.0
2009-03-31,34.0
2009-04-01,36.0
2009-04-02,38.0
2009-04-03,44.0
2009-04-06,50.0
2009-04-07,62.0
2009-04-08,50.0
2009-04-09,50.0
2009-04-13,56.0
2009-04-14,56.0
2009-04-15,50.0
2009-04-16,50.0
2009-04-17,50.0
2009-04-20,40.0
2009-04-21,60.0
2009-04-22,60.0
2009-04-23,36.0
2009-04-24,60.0
2009-04-27,62.0
2009-04-28,62.0
2009-04-29,62.0
2009-04-30,44.0
2009-05-01,62.0
2009-05-04,62.0
2009-05-05,50.0
2009-05-06,50.0
2009-05-07,62.0
2009-05-08,50.0
2009-05-11,62.0
2009-05-12,62.0
2009-05-13,34.0
2009-05-14,62.0
2009-05-15,50.0
2009-05-18,50.0
