,FEV
2013-12-16,11.270000457763672
2013-12-17,
2013-12-18,
2013-12-19,
2013-12-20,
2013-12-23,
2013-12-24,
2013-12-26,
2013-12-27,
2013-12-30,
2013-12-31,
2014-01-02,
2014-01-03,
2014-01-06,
2014-01-07,
2014-01-08,
2014-01-09,
2014-01-10,
2014-01-13,
2014-01-14,
2014-01-15,
2014-01-16,
2014-01-17,
2014-01-21,
2014-01-22,
2014-01-23,
2014-01-24,
2014-01-27,
2014-01-28,
2014-01-29,
2014-01-30,
2014-01-31,
2014-02-03,
2014-02-04,
2014-02-05,
2014-02-06,
2014-02-07,
2014-02-10,
2014-02-11,
2014-02-12,
2014-02-13,
2014-02-14,
2014-02-18,
2014-02-19,
2014-02-20,
2014-02-21,
2014-02-24,
2014-02-25,
2014-02-26,
2014-02-27,
2014-02-28,
2014-03-03,
2014-03-04,
2014-03-05,
2014-03-06,
2014-03-07,
2014-03-10,
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,
2014-03-28,
2014-03-31,
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,
2014-04-07,
2014-04-08,
2014-04-09,
2014-04-10,
2014-04-11,
2014-04-14,
2014-04-15,
2014-04-16,
2014-04-17,
2014-04-21,
2014-04-22,
2014-04-23,
2014-04-24,
2014-04-25,
2014-04-28,
2014-04-29,
2014-04-30,
2014-05-01,
2014-05-02,
2014-05-05,
2014-05-06,
2014-05-07,
2014-05-08,
2014-05-09,
2014-05-12,
2014-05-13,
2014-05-14,
2014-05-15,
2014-05-16,
2014-05-19,
2014-05-20,
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-27,
2014-05-28,
2014-05-29,
2014-05-30,
2014-06-02,
2014-06-03,
2014-06-04,
2014-06-05,
2014-06-06,
2014-06-09,
2014-06-10,
2014-06-11,
2014-06-12,
2014-06-13,
2014-06-16,
2014-06-17,
2014-06-18,
2014-06-19,
2014-06-20,
2014-06-23,
2014-06-24,
2014-06-25,
2014-06-26,
2014-06-27,
2014-06-30,
2014-07-01,
2014-07-02,
2014-07-03,
2014-07-07,
2014-07-08,
2014-07-09,
2014-07-10,
2014-07-11,
2014-07-14,11.704999923706055
2014-07-15,11.680000305175781
2014-07-16,11.680000305175781
2014-07-17,11.670000076293945
2014-07-18,11.704999923706055
2014-07-21,11.625
2014-07-22,11.704999923706055
2014-07-23,11.654999732971191
2014-07-24,11.614999771118164
2014-07-25,11.619999885559082
2014-07-28,11.725000381469727
2014-07-29,11.805000305175781
2014-07-30,11.805000305175781
2014-07-31,11.824999809265137
2014-08-01,11.395000457763672
2014-08-04,11.204999923706055
2014-08-05,11.204999923706055
2014-08-06,11.135000228881836
2014-08-07,11.100000381469727
2014-08-08,11.100000381469727
2014-08-11,11.21500015258789
2014-08-12,11.21500015258789
2014-08-13,11.0600004196167
2014-08-14,11.0600004196167
2014-08-15,11.279999732971191
2014-08-18,11.28499984741211
2014-08-19,11.265000343322754
2014-08-20,11.350000381469727
2014-08-21,11.265000343322754
2014-08-22,11.524999618530273
2014-08-25,11.470000267028809
2014-08-26,11.475000381469727
2014-08-27,11.524999618530273
2014-08-28,11.479999542236328
2014-08-29,11.550000190734863
2014-09-02,11.479999542236328
2014-09-03,11.4350004196167
2014-09-04,11.510000228881836
2014-09-05,11.59000015258789
2014-09-08,11.59000015258789
2014-09-09,11.295000076293945
2014-09-10,11.300000190734863
2014-09-11,11.494999885559082
2014-09-12,11.5
2014-09-15,11.5
2014-09-16,11.489999771118164
2014-09-17,11.274999618530273
2014-09-18,11.279999732971191
2014-09-19,11.354999542236328
2014-09-22,11.364999771118164
2014-09-23,11.369999885559082
2014-09-24,11.289999961853027
2014-09-25,11.300000190734863
2014-09-26,11.579999923706055
2014-09-29,11.585000038146973
2014-09-30,11.390000343322754
2014-10-01,11.298999786376953
2014-10-02,11.300000190734863
2014-10-03,11.331000328063965
2014-10-06,11.414999961853027
2014-10-07,11.425000190734863
2014-10-08,11.300000190734863
2014-10-09,11.350000381469727
2014-10-10,11.15999984741211
2014-10-13,11.109999656677246
2014-10-14,11.104999542236328
2014-10-15,11.109999656677246
2014-10-16,10.9399995803833
2014-10-17,10.82800006866455
2014-10-20,10.925000190734863
2014-10-21,10.859999656677246
2014-10-22,10.859999656677246
2014-10-23,10.895000457763672
2014-10-24,10.979999542236328
2014-10-27,10.875
2014-10-28,10.84000015258789
2014-10-29,10.9350004196167
2014-10-30,10.960000038146973
2014-10-31,10.970000267028809
2014-11-03,10.970000267028809
2014-11-04,10.885000228881836
2014-11-05,11.010000228881836
2014-11-06,10.90999984741211
2014-11-07,10.925000190734863
2014-11-10,10.970000267028809
2014-11-11,10.914999961853027
2014-11-12,11.010000228881836
2014-11-13,10.9399995803833
2014-11-14,10.899999618530273
2014-11-17,10.920000076293945
2014-11-18,11.050000190734863
2014-11-19,11.0649995803833
2014-11-20,11.244999885559082
2014-11-21,11.359999656677246
2014-11-24,11.5
2014-11-25,11.5
2014-11-26,11.522000312805176
2014-11-28,11.600000381469727
2014-12-01,11.5
2014-12-02,11.522000312805176
2014-12-03,11.5
2014-12-04,11.40999984741211
2014-12-05,11.569999694824219
2014-12-08,11.569999694824219
2014-12-09,11.5
2014-12-10,11.505000114440918
2014-12-11,11.515000343322754
2014-12-12,11.470000267028809
2014-12-15,11.470000267028809
2014-12-16,11.532999992370605
2014-12-17,11.586000442504883
2014-12-18,11.581000328063965
2014-12-19,11.489999771118164
2014-12-22,11.4350004196167
2014-12-23,11.435999870300293
2014-12-24,11.435999870300293
2014-12-26,11.529999732971191
2014-12-29,11.493000030517578
2014-12-30,11.5600004196167
2014-12-31,11.539999961853027
2015-01-02,11.57699966430664
2015-01-05,11.585000038146973
2015-01-06,11.64900016784668
2015-01-07,11.673999786376953
2015-01-08,11.664999961853027
2015-01-09,12.043000221252441
2015-01-12,12.01200008392334
2015-01-13,12.074000358581543
2015-01-14,12.059000015258789
2015-01-15,12.069999694824219
2015-01-16,12.022000312805176
2015-01-20,12.192000389099121
2015-01-21,12.21399974822998
2015-01-22,12.329000473022461
2015-01-23,12.232999801635742
2015-01-26,12.277000427246094
2015-01-27,12.184000015258789
2015-01-28,12.394000053405762
2015-01-29,12.300000190734863
2015-01-30,12.800000190734863
2015-02-02,12.819000244140625
2015-02-03,12.781999588012695
2015-02-04,12.887999534606934
2015-02-05,13.147000312805176
2015-02-06,13.446000099182129
2015-02-09,13.465999603271484
2015-02-10,13.470000267028809
2015-02-11,13.46399974822998
2015-02-12,13.675000190734863
2015-02-13,13.75
2015-02-17,14.550000190734863
