,BL
2016-10-28,23.700000762939453
2016-10-31,22.75
2016-11-01,22.489999771118164
2016-11-02,22.149999618530273
2016-11-03,21.979999542236328
2016-11-04,21.780000686645508
2016-11-07,23.420000076293945
2016-11-08,22.600000381469727
2016-11-09,23.010000228881836
2016-11-10,24.40999984741211
2016-11-11,23.889999389648438
2016-11-14,23.489999771118164
2016-11-15,25.510000228881836
2016-11-16,24.799999237060547
2016-11-17,25.559999465942383
2016-11-18,27.530000686645508
2016-11-21,27.75
2016-11-22,27.0
2016-11-23,26.969999313354492
2016-11-25,26.84000015258789
2016-11-28,27.329999923706055
2016-11-29,28.299999237060547
2016-11-30,26.940000534057617
2016-12-01,26.790000915527344
2016-12-02,27.200000762939453
2016-12-05,26.889999389648438
2016-12-06,25.799999237060547
2016-12-07,26.219999313354492
2016-12-08,26.079999923706055
2016-12-09,25.799999237060547
2016-12-12,25.549999237060547
2016-12-13,25.079999923706055
2016-12-14,24.670000076293945
2016-12-15,24.649999618530273
2016-12-16,25.079999923706055
2016-12-19,26.200000762939453
2016-12-20,27.0
2016-12-21,28.059999465942383
2016-12-22,27.780000686645508
2016-12-23,27.399999618530273
2016-12-27,26.850000381469727
2016-12-28,26.920000076293945
2016-12-29,26.829999923706055
2016-12-30,27.6299991607666
2017-01-03,27.889999389648438
2017-01-04,27.65999984741211
2017-01-05,26.920000076293945
2017-01-06,27.170000076293945
2017-01-09,27.190000534057617
2017-01-10,26.709999084472656
2017-01-11,26.739999771118164
2017-01-12,26.469999313354492
2017-01-13,26.889999389648438
2017-01-17,26.790000915527344
2017-01-18,27.170000076293945
2017-01-19,26.889999389648438
2017-01-20,28.299999237060547
2017-01-23,27.450000762939453
2017-01-24,27.65999984741211
2017-01-25,28.09000015258789
2017-01-26,27.829999923706055
2017-01-27,27.639999389648438
2017-01-30,26.940000534057617
2017-01-31,27.18000030517578
2017-02-01,26.81999969482422
2017-02-02,26.959999084472656
2017-02-03,27.479999542236328
2017-02-06,27.260000228881836
