,DGICB
1986-10-29,2.72900390625
1986-10-30,2.72900390625
1986-10-31,2.72900390625
1986-11-03,2.72900390625
1986-11-04,2.649902105331421
1986-11-05,2.53125
1986-11-06,2.412597894668579
1986-11-07,2.373047113418579
1986-11-10,2.33349609375
1986-11-11,2.254395008087158
1986-11-12,2.17529296875
1986-11-13,2.214843988418579
1986-11-14,2.214843988418579
1986-11-17,2.17529296875
1986-11-18,2.096190929412842
1986-11-19,2.056641101837158
1986-11-20,2.056641101837158
1986-11-21,2.096190929412842
1986-11-24,2.096190929412842
1986-11-25,2.096190929412842
1986-11-26,2.135741949081421
1986-11-28,2.135741949081421
1986-12-01,2.056641101837158
1986-12-02,2.056641101837158
1986-12-03,2.056641101837158
1986-12-04,2.096190929412842
1986-12-05,2.096190929412842
1986-12-08,2.135741949081421
1986-12-09,2.056641101837158
1986-12-10,2.056641101837158
1986-12-11,2.056641101837158
1986-12-12,1.9775389432907104
1986-12-15,1.937988042831421
1986-12-16,1.8984379768371582
1986-12-17,1.8984379768371582
1986-12-18,1.937988042831421
1986-12-19,1.937988042831421
1986-12-22,1.937988042831421
1986-12-23,1.937988042831421
1986-12-24,1.937988042831421
1986-12-26,1.937988042831421
1986-12-29,1.937988042831421
1986-12-30,1.9775389432907104
1986-12-31,2.017090082168579
1987-01-02,2.017090082168579
1987-01-05,2.017090082168579
1987-01-06,2.017090082168579
1987-01-07,2.017090082168579
1987-01-08,2.17529296875
1987-01-09,2.254395008087158
1987-01-12,2.293945074081421
1987-01-13,2.293945074081421
1987-01-14,2.293945074081421
1987-01-15,2.293945074081421
1987-01-16,2.293945074081421
1987-01-19,2.293945074081421
1987-01-20,2.214843988418579
1987-01-21,2.214843988418579
1987-01-22,2.214843988418579
1987-01-23,2.214843988418579
1987-01-26,2.135741949081421
1987-01-27,2.135741949081421
1987-01-28,2.096190929412842
1987-01-29,2.135741949081421
1987-01-30,2.135741949081421
1987-02-02,2.135741949081421
1987-02-03,2.135741949081421
1987-02-04,2.135741949081421
1987-02-05,2.17529296875
1987-02-06,2.17529296875
1987-02-09,2.135741949081421
1987-02-10,2.135741949081421
1987-02-11,2.135741949081421
1987-02-12,2.135741949081421
1987-02-13,2.135741949081421
1987-02-17,2.135741949081421
1987-02-18,2.135741949081421
1987-02-19,2.135741949081421
1987-02-20,2.056641101837158
1987-02-23,2.056641101837158
1987-02-24,2.056641101837158
1987-02-25,2.096190929412842
1987-02-26,2.096190929412842
1987-02-27,2.096190929412842
1987-03-02,2.096190929412842
1987-03-03,2.214843988418579
1987-03-04,2.214843988418579
1987-03-05,2.214843988418579
1987-03-06,2.373047113418579
